,Date,OpenCL,HighCL,LowCL,CloseCL,OpenDA,HighDA,LowDA,CloseDA,delta_C,delta_D,delta_C_squared,delta_D_squared,lag_delta_C_squared,lag_delta_D_squared,lag2_delta_C_squared,lag2_delta_D_squared,lag3_delta_C_squared,lag3_delta_D_squared,lag4_delta_C_squared,lag4_delta_D_squared,lag_delta_C,lag_delta_D
1,3/24/2014,99.48999786,100.2900009,99.05000305,99.59999847,33.11000061,33.52999878,32.52000046,33.31999969,0.11000061,0.209999084,0.012100134,0.044099615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3/25/2014,99.43000031,100.25,98.80000305,99.19000244,33.45999908,34.50999832,33.45999908,34.43000031,-0.239997864,0.970001221,0.057598975,0.940902368,0.012100134,0.044099615,NA,NA,NA,NA,NA,NA,0.11000061,0.209999084
3,3/26/2014,99.18000031,100.4599991,99.09999847,100.2600021,34.5,34.54999924,33.90999985,33.95999908,1.080001831,-0.540000916,1.166403955,0.291600989,0.057598975,0.940902368,0.012100134,0.044099615,NA,NA,NA,NA,-0.239997864,0.970001221
4,3/27/2014,100.3000031,101.6999969,100.0299988,101.2799988,33.90000153,34.29000092,32.97000122,34.13000107,0.979995728,0.229999542,0.960391626,0.052899789,1.166403955,0.291600989,0.057598975,0.940902368,0.012100134,0.044099615,NA,NA,1.080001831,-0.540000916
5,3/28/2014,101.3399963,102.2399979,101.1800003,101.6699982,34.13999939,34.68999863,33.50999832,33.52999878,0.330001831,-0.61000061,0.108901208,0.372100745,0.960391626,0.052899789,1.166403955,0.291600989,0.057598975,0.940902368,0.012100134,0.044099615,0.979995728,0.229999542
6,3/31/2014,101.6900024,101.9700012,100.8799973,101.5800018,33.75,34.90999985,33.75,34.65000153,-0.11000061,0.900001526,0.012100134,0.810002747,0.108901208,0.372100745,0.960391626,0.052899789,1.166403955,0.291600989,0.057598975,0.940902368,0.330001831,-0.61000061
7,4/1/2014,101.5299988,101.5699997,99.27999878,99.73999786,34.93000031,35.77999878,34.91999817,35.75,-1.790000916,0.819999695,3.204103278,0.6723995,0.012100134,0.810002747,0.108901208,0.372100745,0.960391626,0.052899789,1.166403955,0.291600989,-0.11000061,0.900001526
8,4/2/2014,99.63999939,99.83000183,98.86000061,99.62000275,35.90999985,36.52000046,35.52999878,35.70000076,-0.019996643,-0.209999084,0.000399866,0.044099615,3.204103278,0.6723995,0.012100134,0.810002747,0.108901208,0.372100745,0.960391626,0.052899789,-1.790000916,0.819999695
9,4/3/2014,99.29000092,100.4899979,99.06999969,100.2900009,35.72999954,36.06999969,34.97000122,35.36999893,1,-0.36000061,1,0.129600439,0.000399866,0.044099615,3.204103278,0.6723995,0.012100134,0.810002747,0.108901208,0.372100745,-0.019996643,-0.209999084
10,4/4/2014,100.3799973,101.6299973,100.2799988,101.1399994,35.68999863,35.70000076,34.47999954,34.61000061,0.760002136,-1.079998016,0.577603247,1.166395715,1,0.129600439,0.000399866,0.044099615,3.204103278,0.6723995,0.012100134,0.810002747,1,-0.36000061
11,4/7/2014,100.9100037,101.3199997,99.91999817,100.4400024,34.50999832,35.36999893,33.68999863,33.99000168,-0.470001221,-0.519996643,0.220901147,0.270396509,0.577603247,1.166395715,1,0.129600439,0.000399866,0.044099615,3.204103278,0.6723995,0.760002136,-1.079998016
12,4/8/2014,100.6900024,102.7099991,100.6800003,102.5599976,33.90000153,34.27999878,32.40999985,33.50999832,1.869995117,-0.390003204,3.496881738,0.152102499,0.220901147,0.270396509,0.577603247,1.166395715,1,0.129600439,0.000399866,0.044099615,-0.470001221,-0.519996643
13,4/9/2014,102.3499985,103.7699966,102.0299988,103.5999985,33.72999954,34.81999969,33.43000031,34.72999954,1.25,1,1.5625,1,3.496881738,0.152102499,0.220901147,0.270396509,0.577603247,1.166395715,1,0.129600439,1.869995117,-0.390003204
14,4/10/2014,103.4400024,103.8099976,103.0999985,103.4000015,35.09999847,35.13999939,33,33.00999832,-0.040000916,-2.090000153,0.001600073,4.368100638,1.5625,1,3.496881738,0.152102499,0.220901147,0.270396509,0.577603247,1.166395715,1.25,1
15,4/11/2014,103.3399963,104.4400024,103.0100021,103.7399979,32.88000107,33.84999847,32.27000046,32.52000046,0.400001526,-0.36000061,0.160001221,0.129600439,0.001600073,4.368100638,1.5625,1,3.496881738,0.152102499,0.220901147,0.270396509,-0.040000916,-2.090000153
